商品名称,商品毛重.kg.,奶源产地,国产或进口,适用年龄.岁.,包装单位,配方,分类,段位,团购价.元.,评价量
多美滋,0.47,澳洲/新西兰,国产,1-3岁,盒装,常规配方奶粉,牛奶粉,3段,105,12292
圣元,1.1,澳洲/新西兰,国产,3-6岁,桶装,常规配方奶粉,牛奶粉,4段,105,10940
合生元,1.2,其它　,进口,3-6岁,桶装,常规配方奶粉,牛奶粉,4段,105,10939
爱睿惠,1.09,澳洲/新西兰,进口,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,106,10938
贝因美,0.5,爱尔兰,国产,1-3岁,盒装,常规配方奶粉,牛奶粉,3段,108,10881
多美滋,1.13,澳洲/新西兰,国产,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,106.2,10881
雀巢,1.08,其它　,进口,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,109,10880
飞鹤,0.46,中国大陆,国产,0.5-1岁,盒装,常规配方奶粉,牛奶粉,2段,109,10424
贝因美,0.51,爱尔兰,国产,0-0.5岁,盒装,常规配方奶粉,牛奶粉,1段,109,10423
圣元,1.2,澳洲/新西兰,国产,3-6岁,盒装,常规配方奶粉,牛奶粉,4段,110,9992
HiPP喜宝,1.017,法国,进口,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,109,9992
合生元,0.9,法国,进口,0-0.5岁,桶装,常规配方奶粉,牛奶粉,1段,110,9925
美素,3.33,荷兰,进口,1-3岁,盒装,常规配方奶粉,牛奶粉,3段,110,9925
雅培,0.9,其它　,国产,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,110,9314
君乐宝,0.8,中国大陆,国产,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,110,9194
美赞臣,1.5,荷兰,国产,3-6岁,盒装,常规配方奶粉,牛奶粉,4段,112,7693
飞鹤,0.94,中国大陆,国产,0-0.5岁,桶装,常规配方奶粉,牛奶粉,1段,111.8,7693
美赞臣,1.5,荷兰,国产,1-3岁,盒装,常规配方奶粉,牛奶粉,3段,115,7068
完达山,0.47,中国大陆,国产,3-6岁,盒装,常规配方奶粉,牛奶粉,4段,115,7067
惠氏,0.9,其它　,进口,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,118,6892
惠氏,1.5,爱尔兰,进口,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,119,6825
贝因美,0.55,其它　,国产,1-3岁,盒装,常规配方奶粉,牛奶粉,3段,118,6825
雅培,1.2,其它　,进口,1-3岁,桶装,有机奶粉,牛奶粉,3段,119,5997
佳贝艾特,0.4,荷兰,进口,0.5-1岁,桶装,常规配方奶粉,羊奶粉,2段,119,5422
贝因美,1.13,中国大陆,国产,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,119,4269
合生元,1.5,其它　,进口,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,119,4232
美赞臣,1.2,其它　,国产,3-6岁,盒装,常规配方奶粉,牛奶粉,4段,119,3707
箱装奶粉,6.8,荷兰,国产,0.5-1岁,箱装,常规配方奶粉,牛奶粉,2段,119,3698
御宝,0.9,中国大陆,国产,0-0.5岁,桶装,常规配方奶粉,羊奶粉,1段,125,3647
惠氏,1.2,其它　,国产,0.5-1岁,盒装,常规配方奶粉,牛奶粉,2段,119,3647
圣元,1.1,澳洲/新西兰,国产,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,126,2765
贝因美,0.554,其它　,国产,0-0.5岁,盒装,常规配方奶粉,牛奶粉,1段,126,2765
美素,1.3,其它　,进口,0.5-1岁,盒装,常规配方奶粉,牛奶粉,2段,125,2765
欢恩宝,1,荷兰,国产,1-3岁,桶装,常规配方奶粉,羊奶粉,3段,125,2765
澳优,0.8,荷兰,国产,3-6岁,桶装,常规配方奶粉,牛奶粉,4段,129,2727
惠氏,0.9,其它　,国产,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,129,2725
圣元,1.1,澳洲/新西兰,国产,0-0.5岁,桶装,常规配方奶粉,牛奶粉,1段,129,2725
惠氏,0.9,其它　,进口,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,129,2725
君乐宝,0.8,中国大陆,国产,3-6岁,桶装,常规配方奶粉,牛奶粉,4段,130,2469
雅培,0.9,其它　,国产,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,133,2462
伊利,0.8,澳洲/新西兰,国产,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,132,2462
佳贝艾特,0.8,荷兰,进口,0-0.5岁,桶装,常规配方奶粉,羊奶粉,1段,134,2448
特福芬,0.6,德国,进口,1-3岁,盒装,有机奶粉,牛奶粉,3段,134,2420
辉山,0.47,中国大陆,国产,1-3岁,盒装,常规配方奶粉,牛奶粉,3段,134,2412
雅培,1.09,中国大陆,国产,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,134,2316
贝因美,1,其它　,国产,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,135,2296
贝因美,1.5,爱尔兰,进口,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,135,2110
贝因美,0.49,中国大陆,国产,3-6岁,盒装,常规配方奶粉,牛奶粉,4段,136,2065
澳优,0.8,荷兰,国产,1-3岁,盒装,常规配方奶粉,牛奶粉,3段,138,2058
圣元,0.9,澳洲/新西兰,国产,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,138,2058
飞鹤,0.4,中国大陆,国产,1-3岁,盒装,常规配方奶粉,牛奶粉,3段,138,1950
亨氏,1.09,英国,进口,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,138,1949
爱睿惠,0.95,澳洲/新西兰,进口,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,138,1949
圣元,1.1,澳洲/新西兰,国产,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,138,1829
伊利,1.2,澳洲/新西兰,国产,0.5-1岁,盒装,常规配方奶粉,牛奶粉,2段,138,1809
君乐宝,0.48,中国大陆,国产,0.5-1岁,盒装,常规配方奶粉,牛奶粉,2段,138,1809
君乐宝,1.6,中国大陆,国产,1-3岁,盒装,常规配方奶粉,牛奶粉,3段,138,1782
惠氏,1.1,爱尔兰,进口,0-0.5岁,桶装,常规配方奶粉,牛奶粉,1段,138,1768
雅士利,0.6,澳洲/新西兰,国产,0.5-1岁,盒装,常规配方奶粉,牛奶粉,2段,139,1670
特福芬,0.6,德国,进口,1-3岁,箱装,有机奶粉,牛奶粉,3段,139,1665
咔哇熊,1.09,澳洲/新西兰,进口,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,139,1651
英氏,0.9,其它　,进口,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,139,1645
飞鹤,1.11,中国大陆,国产,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,139,1608
惠氏,0.9,其它　,进口,0-0.5岁,桶装,常规配方奶粉,牛奶粉,1段,139,1608
特福芬,0.6,德国,进口,0-0.5岁,盒装,有机奶粉,牛奶粉,1段,139,1608
HiPP喜宝,1.017,法国,进口,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,139.5,1577
伊利,0.5,其它　,国产,3-6岁,盒装,常规配方奶粉,牛奶粉,4段,139.5,1573
美素,0.4,其它　,进口,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,139.5,1573
贝因美,1.1,中国大陆,国产,0.5-1岁,盒装,常规配方奶粉,牛奶粉,2段,141,1559
明一,1.12,澳洲/新西兰,国产,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,141,1559
伊利,0.8,澳洲/新西兰,国产,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,140,1559
贝因美,1.1,中国大陆,国产,3-6岁,桶装,常规配方奶粉,牛奶粉,4段,140,1559
辉山,0.47,中国大陆,国产,0.5-1岁,盒装,常规配方奶粉,牛奶粉,2段,141,1510
圣元,2,法国,国产,1-3岁,盒装,常规配方奶粉,牛奶粉,3段,143,1507
飞鹤,0.5,中国大陆,国产,1-3岁,盒装,常规配方奶粉,牛奶粉,3段,142,1507
飞鹤,0.7,中国大陆,国产,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,141,1507
美素,0.9,其它　,进口,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,143,1464
