时间,上证指数
8/14/2017,3237.3602
8/15/2017,3251.2617
8/16/2017,3246.4512
8/17/2017,3268.4298
8/18/2017,3268.7243
8/21/2017,3286.9055
8/22/2017,3290.2257
8/23/2017,3287.7049
8/24/2017,3271.5117
8/25/2017,3331.5221
8/28/2017,3362.6514
8/29/2017,3365.2261
8/30/2017,3363.6266
8/31/2017,3360.8103
9/1/2017,3367.1194
9/4/2017,3379.583
9/5/2017,3384.317
9/6/2017,3385.3888
9/7/2017,3365.4974
9/8/2017,3365.2426
9/11/2017,3376.4188
9/12/2017,3379.488
9/13/2017,3384.147
9/14/2017,3371.4256
9/15/2017,3353.6192
9/18/2017,3362.8587
9/19/2017,3356.8446
9/20/2017,3365.9959
9/21/2017,3357.8123
9/22/2017,3352.5294
9/25/2017,3341.5487
9/26/2017,3343.5826
9/27/2017,3345.2717
9/28/2017,3339.6421
9/29/2017,3348.9431
10/9/2017,3374.3781
10/10/2017,3382.9879
10/11/2017,3388.2838
10/12/2017,3386.1
10/13/2017,3390.5233
10/16/2017,3378.4704
10/17/2017,3372.0407
10/18/2017,3381.7937
10/19/2017,3370.1721
10/20/2017,3378.6481
10/23/2017,3380.699
10/24/2017,3388.2477
10/25/2017,3396.8975
10/26/2017,3407.5671
10/27/2017,3416.8124
10/30/2017,3390.3371
10/31/2017,3393.3417
11/1/2017,3395.9125
11/2/2017,3383.3095
11/3/2017,3371.7441
11/6/2017,3388.1742
11/7/2017,3413.5748
11/8/2017,3415.4602
11/9/2017,3427.7946
11/10/2017,3432.6731
11/13/2017,3447.8358
11/14/2017,3429.5482
11/15/2017,3402.5245
11/16/2017,3399.2503
11/17/2017,3382.9075
11/20/2017,3392.3988
11/21/2017,3410.4977
11/22/2017,3430.4643
11/23/2017,3351.9182
11/24/2017,3353.8207
11/27/2017,3322.2298
11/28/2017,3333.657
11/29/2017,3337.862
11/30/2017,3317.1884
12/1/2017,3317.6174
12/4/2017,3309.6183
12/5/2017,3303.6751
12/6/2017,3293.9648
12/7/2017,3272.0542
12/8/2017,3289.9924
12/11/2017,3322.1956
12/12/2017,3280.8136
12/13/2017,3303.0373
12/14/2017,3292.4385
12/15/2017,3266.1371
12/18/2017,3267.9224
12/19/2017,3296.5384
12/20/2017,3287.6057
12/21/2017,3300.0593
12/22/2017,3297.063
12/25/2017,3280.461
12/26/2017,3306.1246
12/27/2017,3275.7828
12/28/2017,3296.3847
12/29/2017,3307.1721
1/2/2018,3348.3259
1/3/2018,3369.1084
1/4/2018,3385.7102
1/5/2018,3391.7501
1/8/2018,3409.4795
1/9/2018,3413.8996
1/10/2018,3421.8343
1/11/2018,3425.3449
1/12/2018,3428.9407
1/15/2018,3410.4882
1/16/2018,3436.594
1/17/2018,3444.6713
1/18/2018,3474.754
1/19/2018,3487.864
1/22/2018,3501.3622
1/23/2018,3546.5048
1/24/2018,3559.4653
1/25/2018,3548.307
1/26/2018,3558.1288
1/29/2018,3523.0007
1/30/2018,3488.009
1/31/2018,3480.8334
2/1/2018,3446.9799
2/2/2018,3462.0808
2/5/2018,3487.497
2/6/2018,3370.652
2/7/2018,3309.2598
2/8/2018,3262.0504
2/9/2018,3129.8508
2/12/2018,3154.1254
2/13/2018,3184.9587
2/14/2018,3199.1589
2/22/2018,3268.5589
2/23/2018,3289.0241
2/26/2018,3329.5737
2/27/2018,3292.0679
2/28/2018,3259.408
3/1/2018,3273.7549
3/2/2018,3254.5283
3/5/2018,3256.9263
3/6/2018,3289.6419
3/7/2018,3271.6683
3/8/2018,3288.4055
3/9/2018,3307.1656
3/12/2018,3326.6992
3/13/2018,3310.2389
3/14/2018,3291.3819
3/15/2018,3291.112
3/16/2018,3269.8821
3/19/2018,3279.2517
3/20/2018,3290.6399
3/21/2018,3280.9521
3/22/2018,3263.4803
3/23/2018,3152.7608
3/26/2018,3133.7218
3/27/2018,3166.6488
3/28/2018,3122.2895
3/29/2018,3160.5306
3/30/2018,3168.8966
4/2/2018,3163.179
4/3/2018,3136.6332
4/4/2018,3131.1114
4/9/2018,3138.2936
4/10/2018,3190.3216
4/11/2018,3208.0818
4/12/2018,3180.1583
4/13/2018,3159.0521
4/16/2018,3110.6489
4/17/2018,3066.7967
4/18/2018,3091.3987
4/19/2018,3117.376
4/20/2018,3071.5425
4/23/2018,3068.012
4/24/2018,3128.9271
4/25/2018,3117.9739
4/26/2018,3075.0301
4/27/2018,3082.2316
5/2/2018,3081.1773
5/3/2018,3100.8586
5/4/2018,3091.0334
5/7/2018,3136.6448
5/8/2018,3161.4976
5/9/2018,3159.1502
5/10/2018,3174.4127
5/11/2018,3163.2632
5/14/2018,3174.032
5/15/2018,3192.1183
5/16/2018,3169.5652
5/17/2018,3154.2825
5/18/2018,3193.3034
5/21/2018,3213.8404
5/22/2018,3214.3497
5/23/2018,3168.9642
5/24/2018,3154.6506
5/25/2018,3141.3032
5/28/2018,3135.0821
5/29/2018,3120.4605
5/30/2018,3041.4434
5/31/2018,3095.4737
6/1/2018,3075.1372
6/4/2018,3091.1909
6/5/2018,3114.2055
6/6/2018,3115.1803
6/7/2018,3109.4988
6/8/2018,3067.1478
6/11/2018,3052.7831
6/12/2018,3079.8018
6/13/2018,3049.7965
6/14/2018,3044.1597
6/15/2018,3021.9008
6/19/2018,2907.8221
6/20/2018,2915.7314
6/21/2018,2875.8099
6/22/2018,2889.7603
6/25/2018,2859.3364
6/26/2018,2844.5081
6/27/2018,2813.1775
6/28/2018,2786.8966
6/29/2018,2847.4181
7/2/2018,2775.557
7/3/2018,2786.8878
7/4/2018,2759.126
7/5/2018,2733.8819
7/6/2018,2747.2285
7/9/2018,2815.1095
7/10/2018,2827.6252
7/11/2018,2777.7711
7/12/2018,2837.6586
7/13/2018,2831.1837
7/16/2018,2814.0418
7/17/2018,2798.1259
7/18/2018,2787.257
7/19/2018,2772.5454
7/20/2018,2829.2712
7/23/2018,2859.5424
7/24/2018,2905.5618
7/25/2018,2903.6467
7/26/2018,2882.2254
7/27/2018,2873.5938
7/30/2018,2869.0495
7/31/2018,2876.4009
8/1/2018,2824.5337
8/2/2018,2768.0239
8/3/2018,2740.4429
8/6/2018,2705.1565
8/7/2018,2779.374
8/8/2018,2744.0696
8/9/2018,2794.3818
8/10/2018,2795.3099
8/13/2018,2785.872
8/14/2018,2780.9646
8/15/2018,2723.2576
8/16/2018,2705.1917
8/17/2018,2668.966
8/20/2018,2698.4658
8/21/2018,2733.8264
8/22/2018,2714.6082
8/23/2018,2724.6244
8/24/2018,2729.4308
8/27/2018,2780.899
8/28/2018,2777.9808
8/29/2018,2769.2947
8/30/2018,2737.7367
8/31/2018,2725.2499
9/3/2018,2720.7344
9/4/2018,2750.5804
9/5/2018,2704.3368
9/6/2018,2691.5929
9/7/2018,2702.3007
9/10/2018,2669.4845
9/11/2018,2664.7997
9/12/2018,2656.1101
9/13/2018,2686.5784
9/14/2018,2681.6431
9/17/2018,2651.7886
9/18/2018,2699.9501
9/19/2018,2730.8503
9/20/2018,2729.2438
9/21/2018,2797.4848
9/25/2018,2781.1385
9/26/2018,2806.8133
9/27/2018,2791.7748
9/28/2018,2821.3501
10/8/2018,2716.5104
10/9/2018,2721.013
10/10/2018,2725.8367
10/11/2018,2583.4575
10/12/2018,2606.9125
10/15/2018,2568.0984
10/16/2018,2546.3296
10/17/2018,2561.614
10/18/2018,2486.4186
10/19/2018,2550.4652
10/22/2018,2654.8762
10/23/2018,2594.8255
10/24/2018,2603.2951
10/25/2018,2603.7995
10/26/2018,2598.8468
10/29/2018,2542.1033
10/30/2018,2568.0481
10/31/2018,2602.7832
11/1/2018,2606.2372
11/2/2018,2676.4762
11/5/2018,2665.4306
11/6/2018,2659.3564
11/7/2018,2641.342
11/8/2018,2635.6322
11/9/2018,2598.8715
11/12/2018,2630.5195
11/13/2018,2654.8795
11/14/2018,2632.2425
11/15/2018,2668.1704
11/16/2018,2679.1097
11/19/2018,2703.5116
11/20/2018,2645.8545
11/21/2018,2651.5053
11/22/2018,2645.4339
11/23/2018,2579.4831
11/26/2018,2575.8101
11/27/2018,2574.6792
11/28/2018,2601.7365
11/29/2018,2567.4434
11/30/2018,2588.1875
12/3/2018,2654.798
12/4/2018,2665.9577
12/5/2018,2649.8051
12/6/2018,2605.1813
12/7/2018,2605.8876
12/10/2018,2584.5822
12/11/2018,2594.0881
12/12/2018,2602.1526
12/13/2018,2634.0491
12/14/2018,2593.7407
12/17/2018,2597.9737
12/18/2018,2576.6495
12/19/2018,2549.5634
12/20/2018,2536.2675
12/21/2018,2516.2506
12/24/2018,2527.0071
12/25/2018,2504.819
12/26/2018,2498.2939
12/27/2018,2483.0864
12/28/2018,2493.8962
1/2/2019,2465.291
1/3/2019,2464.3628
1/4/2019,2514.8682
1/7/2019,2533.0887
1/8/2019,2526.4622
1/9/2019,2544.3449
1/10/2019,2535.0985
1/11/2019,2553.8313
1/14/2019,2535.7653
1/15/2019,2570.3449
1/16/2019,2570.4221
1/17/2019,2559.637
1/18/2019,2596.0056
1/21/2019,2610.5094
1/22/2019,2579.7041
1/23/2019,2581.0041
1/24/2019,2591.6935
1/25/2019,2601.7234
1/28/2019,2596.9767
1/29/2019,2594.2536
1/30/2019,2575.5756
1/31/2019,2584.5724
2/1/2019,2618.2323
2/11/2019,2653.896
2/12/2019,2671.8937
2/13/2019,2721.0683
2/14/2019,2719.6999
2/15/2019,2682.385
2/18/2019,2754.3566
2/19/2019,2755.6459
2/20/2019,2761.2189
2/21/2019,2751.8012
2/22/2019,2804.2262
2/25/2019,2961.2834
2/26/2019,2941.5163
2/27/2019,2953.8242
2/28/2019,2940.9538
3/1/2019,2994.005
3/4/2019,3027.5755
3/5/2019,3054.2466
3/6/2019,3102.0991
3/7/2019,3106.4179
3/8/2019,2969.8614
3/11/2019,3026.9925
3/12/2019,3060.3073
3/13/2019,3026.9513
3/14/2019,2990.685
3/15/2019,3021.7512
3/18/2019,3096.4176
3/19/2019,3090.975
3/20/2019,3090.6403
3/21/2019,3101.455
3/22/2019,3104.1487
3/25/2019,3043.0313
3/26/2019,2997.0954
3/27/2019,3022.7196
3/28/2019,2994.9434
3/29/2019,3090.758
4/1/2019,3170.361
4/2/2019,3176.8227
4/3/2019,3216.2952
4/4/2019,3246.5714
4/8/2019,3244.8103
4/9/2019,3239.6639
4/10/2019,3241.9299
4/11/2019,3189.9619
4/12/2019,3188.6256
4/15/2019,3177.7866
4/16/2019,3253.5978
4/17/2019,3263.1179
4/18/2019,3250.2012
4/19/2019,3270.7973
4/22/2019,3215.0426
4/23/2019,3198.5938
4/24/2019,3201.6137
4/25/2019,3123.8261
4/26/2019,3086.3989
4/29/2019,3062.4985
4/30/2019,3078.3389
5/6/2019,2906.464
5/7/2019,2926.3908
5/8/2019,2893.7567
5/9/2019,2850.9537
5/10/2019,2939.2106
5/13/2019,2903.7131
5/14/2019,2883.6107
5/15/2019,2938.6781
5/16/2019,2955.711
5/17/2019,2882.2962
5/20/2019,2870.6046
5/21/2019,2905.9688
5/22/2019,2891.7046
5/23/2019,2852.5153
5/24/2019,2852.9948
5/27/2019,2892.3782
5/28/2019,2909.9106
5/29/2019,2914.6964
5/30/2019,2905.8054
5/31/2019,2898.6961
6/3/2019,2890.0809
6/4/2019,2862.2803
6/5/2019,2861.4181
6/6/2019,2827.7978
6/10/2019,2852.1302
6/11/2019,2925.7162
6/12/2019,2909.3796
6/13/2019,2910.7406
6/14/2019,2881.9743
6/17/2019,2887.6221
6/18/2019,2890.158
6/19/2019,2917.8029
6/20/2019,2987.1186
6/21/2019,3001.9802
6/24/2019,3008.1479
6/25/2019,2982.0738
6/26/2019,2976.2837
6/27/2019,2996.7926
6/28/2019,2978.8784
7/1/2019,3044.9028
7/2/2019,3043.9428
7/3/2019,3015.2633
7/4/2019,3005.2488
7/5/2019,3011.0588
7/8/2019,2933.3634
7/9/2019,2928.2295
7/10/2019,2915.3022
7/11/2019,2917.7609
7/12/2019,2930.5462
7/15/2019,2942.1853
7/16/2019,2937.6168
7/17/2019,2931.6926
7/18/2019,2901.1766
7/19/2019,2924.2006
7/22/2019,2886.974
7/23/2019,2899.9446
7/24/2019,2923.2775
7/25/2019,2937.3601
7/26/2019,2944.541
7/29/2019,2941.007
7/30/2019,2952.3383
7/31/2019,2932.5058
8/1/2019,2908.766
8/2/2019,2867.8376
8/5/2019,2821.4957
8/6/2019,2777.5559
8/7/2019,2768.6795
